iter	Passed	Remaining
447	1127	1389
448	1129	1386
449	1131	1383
450	1134	1381
451	1137	1379
452	1141	1377
453	1144	1377
454	1147	1374
455	1148	1370
456	1150	1367
457	1152	1363
458	1154	1360
459	1156	1357
460	1158	1354
461	1161	1352
462	1163	1349
463	1165	1346
464	1167	1343
465	1169	1339
466	1170	1336
467	1172	1332
468	1176	1331
469	1178	1328
470	1180	1325
471	1181	1321
472	1183	1318
473	1184	1314
474	1186	1311
475	1190	1310
476	1192	1307
477	1194	1304
478	1197	1302
479	1199	1299
480	1202	1297
481	1205	1295
482	1206	1291
483	1209	1289
484	1212	1287
485	1214	1284
486	1217	1282
487	1220	1280
488	1222	1277
489	1224	1274
490	1226	1271
491	1228	1268
492	1230	1265
493	1233	1263
494	1235	1260
495	1237	1257
496	1239	1254
497	1241	1251
498	1243	1248
499	1246	1246
500	1249	1244
501	1251	1241
502	1253	1238
503	1260	1240
504	1264	1239
505	1275	1245
506	1278	1242
507	1279	1239
508	1282	1237
509	1284	1233
510	1286	1231
511	1290	1229
512	1292	1227
513	1296	1226
514	1299	1224
515	1302	1221
516	1305	1219
517	1307	1216
518	1309	1214
519	1311	1210
520	1313	1207
521	1316	1205
522	1318	1202
523	1320	1199
524	1322	1196
525	1324	1193
526	1326	1190
527	1328	1187
528	1331	1185
529	1333	1182
530	1335	1179
531	1337	1176
532	1339	1173
533	1341	1170
534	1347	1171
535	1353	1171
536	1358	1171
537	1362	1170
538	1367	1169
539	1370	1167
540	1371	1164
541	1375	1162
542	1379	1161
543	1381	1158
544	1383	1155
545	1385	1152
546	1387	1149
547	1391	1148
548	1394	1145
549	1396	1142
550	1399	1140
551	1401	1137
552	1403	1134
553	1407	1132
554	1409	1130
555	1411	1127
556	1413	1124
557	1416	1121
558	1420	1121
559	1424	1118
560	1427	1117
561	1429	1114
562	1431	1111
563	1436	1110
564	1439	1107
565	1442	1105
566	1445	1104
567	1449	1102
568	1453	1100
569	1454	1097
570	1456	1094
571	1458	1091
572	1460	1088
573	1464	1086
574	1467	1084
575	1470	1082
576	1473	1079
577	1476	1078
578	1481	1076
579	1487	1077
580	1492	1076
581	1495	1074
582	1498	1071
583	1500	1068
584	1501	1065
585	1503	1062
586	1507	1060
587	1509	1058
588	1511	1055
589	1514	1052
590	1515	1049
591	1517	1045
592	1521	1044
593	1523	1041
594	1525	1038
595	1527	1035
596	1529	1032
597	1531	1029
598	1535	1027
599	1541	1027
600	1546	1026
601	1555	1028
602	1557	1025
603	1559	1022
604	1563	1020
605	1565	1017
606	1568	1015
607	1570	1012
608	1572	1009
609	1575	1007
610	1577	1004
611	1582	1003
612	1585	1001
613	1588	998
614	1591	996
615	1625	1013
616	1629	1011
617	1631	1008
618	1634	1006
619	1637	1003
620	1642	1002
621	1645	1000
622	1648	997
623	1652	995
624	1669	1001
625	1675	1001
626	1681	1000
627	1685	998
628	1690	997
629	1694	995
630	1697	992
631	1700	990
632	1757	1018
633	1763	1018
634	1767	1015
635	1770	1013
636	1774	1011
637	1776	1008
638	1778	1004
639	1780	1001
640	1782	998
641	1786	995
642	1789	993
643	1792	990
644	1794	987
645	1796	984
646	1799	981
647	1804	980
648	1808	978
649	1810	975
650	1812	971
651	1828	976
652	1832	973
653	1834	970
654	1838	968
655	1840	965
656	1844	962
657	1849	961
658	1852	958
659	1856	956
660	1861	954
661	1866	952
662	1868	949
663	1872	947
664	1875	944
665	1879	942
666	1882	939
667	1884	936
668	1886	933
669	1888	930
670	1892	928
671	1894	924
672	1896	921
673	1899	918
674	1901	915
675	1904	912
676	1907	910
677	1911	907
678	1914	904
679	1917	902
680	1921	899
681	1923	896
682	1925	893
683	1930	891
684	1934	889
685	1938	887
686	1942	885
687	1944	881
688	1947	878
689	1951	876
690	1955	874
691	1958	871
692	1960	868
693	1963	865
694	1964	862
695	1966	858
696	1970	856
697	1972	853
698	1974	850
699	1976	847
700	1978	844
701	1980	840
702	1985	838
703	1991	837
704	1994	834
705	1997	831
706	2001	829
707	2003	826
708	2006	823
709	2009	820
710	2012	818
711	2016	815
712	2018	812
713	2021	809
714	2023	806
715	2026	803
716	2029	801
717	2033	798
718	2036	795
719	2038	792
720	2044	791
721	2046	787
722	2048	784
723	2049	781
724	2051	778
725	2053	774
726	2056	772
727	2058	769
728	2060	766
729	2064	763
730	2067	760
731	2069	757
732	2072	755
733	2074	751
734	2078	749
735	2080	746
736	2081	742
737	2085	740
738	2087	737
739	2089	734
740	2091	730
741	2093	727
742	2094	724
743	2096	721
744	2100	718
745	2103	716
746	2105	713
747	2107	710
748	2109	707
749	2111	703
750	2115	701
751	2118	698
752	2120	695
753	2121	692
754	2123	689
755	2125	686
756	2130	684
757	2133	681
758	2135	677
759	2137	674
760	2138	671
761	2141	668
762	2144	666
763	2147	663
764	2149	660
765	2151	657
766	2153	654
767	2154	650
768	2158	648
769	2161	645
770	2163	642
771	2165	639
772	2167	636
773	2168	633
774	2171	630
775	2174	627
776	2177	624
777	2178	621
778	2180	618
779	2182	615
780	2185	612
781	2188	610
782	2190	607
783	2192	603
784	2193	600
785	2195	597
786	2196	594
787	2199	591
788	2202	589
789	2205	586
790	2207	583
791	2208	580
792	2210	577
793	2214	574
794	2219	572
795	2221	569
796	2223	566
797	2226	563
798	2230	561
799	2233	558
800	2235	555
801	2237	552
802	2239	549
803	2240	546
804	2243	543
805	2245	540
806	2249	537
807	2251	534
808	2252	531
809	2254	528
810	2256	525
811	2259	523
812	2263	520
813	2265	517
814	2266	514
815	2268	511
816	2270	508
817	2272	505
818	2275	502
819	2277	500
820	2279	496
821	2281	493
822	2282	490
823	2284	487
824	2285	484
825	2289	482
826	2292	479
827	2294	476
828	2295	473
829	2297	470
830	2299	467
831	2301	464
832	2304	461
833	2306	459
834	2308	456
835	2310	453
836	2311	450
837	2313	447
838	2315	444
839	2318	441
840	2320	438
841	2322	435
842	2324	432
843	2325	429
844	2327	426
845	2328	423
846	2332	421
847	2335	418
848	2337	415
849	2338	412
850	2340	409
851	2341	406
852	2344	404
853	2349	401
854	2351	398
855	2353	395
856	2355	393
857	2357	390
858	2361	387
859	2364	384
860	2366	382
861	2368	379
862	2369	376
863	2371	373
864	2373	370
865	2376	367
866	2379	364
867	2380	362
868	2382	359
869	2384	356
870	2385	353
871	2388	350
872	2391	347
873	2393	345
874	2395	342
875	2397	339
876	2398	336
877	2400	333
878	2408	331
879	2410	328
880	2412	325
881	2414	323
882	2418	320
883	2421	317
884	2424	315
885	2426	312
886	2428	309
887	2429	306
888	2433	303
889	2435	301
890	2438	298
891	2440	295
892	2442	292
893	2443	289
894	2445	286
895	2449	284
896	2451	281
897	2453	278
898	2454	275
899	2456	272
900	2458	270
901	2461	267
902	2464	264
903	2466	261
904	2467	259
905	2469	256
906	2471	253
907	2472	250
908	2475	247
909	2478	245
910	2480	242
911	2482	239
912	2483	236
913	2485	233
914	2486	231
915	2488	228
916	2491	225
917	2494	222
918	2496	220
919	2498	217
920	2500	214
921	2501	211
922	2503	208
923	2506	206
924	2508	203
925	2510	200
926	2512	197
927	2514	195
928	2515	192
929	2517	189
930	2520	186
931	2523	184
932	2525	181
933	2526	178
934	2528	175
935	2530	173
936	2532	170
937	2535	167
938	2537	164
939	2539	162
940	2541	159
941	2542	156
942	2544	153
943	2545	151
944	2549	148
945	2552	145
946	2554	142
947	2556	140
948	2558	137
949	2560	134
950	2564	132
951	2566	129
952	2567	126
953	2569	123
954	2571	121
955	2572	118
956	2575	115
957	2579	113
958	2581	110
959	2583	107
960	2585	104
961	2587	102
962	2591	99
963	2594	96
964	2596	94
965	2598	91
966	2600	88
967	2602	86
968	2608	83
969	2610	80
970	2612	78
971	2614	75
972	2616	72
973	2620	69
974	2622	67
975	2626	64
976	2628	61
977	2630	59
978	2635	56
979	2638	53
980	2640	51
981	2642	48
982	2643	45
983	2645	43
984	2648	40
985	2652	37
986	2654	34
987	2655	32
988	2657	29
989	2659	26
990	2664	24
991	2667	21
992	2669	18
993	2671	16
994	2672	13
995	2674	10
996	2678	8
997	2680	5
998	2681	2
999	2683	0
